match_alias,states,eligible_states,zero_pair_states,eligible_pairs,discordant_pairs,discordant_states,weighted_disagreement,unchanged,strict_reversal,tie_created,tie_removed
development_01,885,883,2,38407,13199,883,0.343774850195142,0.8746363546785019,0.12536364532149818,0.0,0.0
development_02,801,801,0,34364,12313,801,0.35854320298030373,0.8756450172221482,0.12435498277785205,0.0,0.0
development_03,952,952,0,41291,13169,949,0.3184512764413671,0.8771355552276341,0.12286444477236635,0.0,0.0
development_04,877,877,0,38038,14120,876,0.36989385842030914,0.8586125214054591,0.14138747859454096,0.0,0.0
development_05,861,860,1,37296,12878,860,0.3452563385087325,0.8791727561963415,0.12082724380365846,0.0,0.0
development_06,629,629,0,27158,9921,629,0.36320304408539705,0.8727557320875232,0.12724426791247676,0.0,0.0
development_07,764,764,0,33194,11268,764,0.3390182061975256,0.8696634267974003,0.13033657320259986,0.0,0.0
development_08,734,734,0,31835,10881,734,0.34158797272076646,0.8826565493034424,0.11734345069655777,0.0,0.0
development_09,724,722,2,31019,10794,722,0.35010905914645524,0.8688427541928623,0.1311572458071376,0.0,0.0
match_macro,7227,7222,5,312602,108543,7218,0.34775975652177765,0.8732356296790346,0.1267643703209653,0.0,0.0
