feature,bin,match_alias,states,represented_matches,m1_mean_rank_change,m2_mean_rank_change,m1_improved,m1_worsened,m1_tied,m2_improved,m2_worsened,m2_tied
absolute_lateral,bin_1,development_01,300,1,0.12999999999999998,-0.03999999999999999,78,100,122,22,10,268
absolute_lateral,bin_1,development_02,329,1,0.0547112462006079,-0.012158054711246202,89,102,138,27,21,281
absolute_lateral,bin_1,development_03,299,1,-0.060200668896321044,-0.030100334448160522,82,88,129,21,15,263
absolute_lateral,bin_1,development_04,348,1,-0.10632183908045975,0.01436781609195402,110,88,150,14,22,312
absolute_lateral,bin_1,development_05,272,1,0.20955882352941174,0.011029411764705881,56,93,123,14,18,240
absolute_lateral,bin_1,development_06,245,1,0.04081632653061224,-0.012244897959183671,62,77,106,18,16,211
absolute_lateral,bin_1,development_07,244,1,-0.12295081967213121,0.0573770491803279,74,68,102,18,31,195
absolute_lateral,bin_1,development_08,230,1,-0.06956521739130435,0.056521739130434775,77,68,85,10,22,198
absolute_lateral,bin_1,development_09,300,1,-0.25333333333333324,0.03666666666666666,97,72,131,17,26,257
absolute_lateral,bin_1,match_macro,2567,9,-0.01969838690143531,0.009051043968388758,725,756,1086,161,181,2225
absolute_lateral,bin_2,development_01,291,1,-0.5326460481099655,-0.030927835051546386,132,62,97,24,17,250
absolute_lateral,bin_2,development_02,260,1,-0.36923076923076925,-0.03461538461538462,111,60,89,21,14,225
absolute_lateral,bin_2,development_03,350,1,-0.4685714285714286,-0.014285714285714287,153,68,129,24,17,309
absolute_lateral,bin_2,development_04,297,1,-0.4175084175084176,0.016835016835016838,120,59,118,12,17,268
absolute_lateral,bin_2,development_05,307,1,-0.16612377850162866,0.0065146579804560255,108,73,126,14,16,277
absolute_lateral,bin_2,development_06,198,1,-0.4090909090909091,0.0101010101010101,85,36,77,13,14,171
absolute_lateral,bin_2,development_07,283,1,-0.4134275618374557,0.0035335689045936395,128,60,95,19,17,247
absolute_lateral,bin_2,development_08,268,1,-0.4477611940298508,0.0,121,50,97,12,12,244
absolute_lateral,bin_2,development_09,232,1,-0.47844827586206884,-0.008620689655172412,92,51,89,15,14,203
absolute_lateral,bin_2,match_macro,2486,9,-0.41142315363805493,-0.005718374420749012,1050,519,917,154,138,2194
absolute_lateral,bin_3,development_01,219,1,-1.3881278538812787,-0.054794520547945216,142,23,54,23,10,186
absolute_lateral,bin_3,development_02,159,1,-1.3018867924528303,-0.03773584905660378,107,16,36,13,7,139
absolute_lateral,bin_3,development_03,225,1,-1.2844444444444445,-0.05333333333333333,136,29,60,22,9,194
absolute_lateral,bin_3,development_04,183,1,-1.2131147540983607,-0.10382513661202186,111,25,47,25,8,150
