fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
axial_1,isotropic,passed,3,1,true,true,true,accepted,78ed0a7deb955204800eff1959140fad57cce3ffd8630d6804c7ca7f015db69b
axial_1,expanding,passed,3,1,true,true,true,accepted,26cbed56d2cccfe785458fb02cf024add0339170a242222a9858dc2e450d6898
axial_1,constant_width,passed,3,1,true,true,true,accepted,9a16850c48978cca12a7b3379212362430460f16c117347cad5efd070cc9299d
axial_2,isotropic,passed,3,1,true,true,true,accepted,20564b092ec830e8ee67db63ce872044aadb2f4ed9a837479c3dcce4836afb51
axial_2,expanding,passed,3,1,true,true,true,accepted,b8d80fdcdec5df050e45ffeba6c024de0a71cda872fab6531a613d54a955d623
axial_2,constant_width,passed,3,1,true,true,true,accepted,1082eff886bd41d5f359a3ce320643f8ad0d8e2bc76a1918aea46219857d2735
axial_3,isotropic,passed,3,1,true,true,true,accepted,6d0e5d695aa110042da1efaf6d870e08c339dc352b649e69f83b7200b2e94d03
axial_3,expanding,passed,3,1,true,true,true,accepted,c08b115262c67d412b4338820a5723dc05c97102ecc67675149e6e406c09e899
axial_3,constant_width,passed,3,1,true,true,true,accepted,81e715081f82071dbacc25d78330841bd64012c27d5b4473917ca28c0a5c59d4
axial_4,isotropic,passed,3,1,true,true,true,accepted,7709470245d242b0e914777858288b0c1ac683c4109e9eb0eea5618169507b73
axial_4,expanding,passed,3,1,true,true,true,accepted,c6938847a4e870229e11854799649e59df44855ebece6183a40c98f59e487749
axial_4,constant_width,passed,3,1,true,true,true,accepted,024a44943a1ae6992197d3a354c1bcbcbda35dbf87a147020dde6d12ab6aa742
lateral_x5_y0,isotropic,passed,3,1,true,true,true,accepted,b3923f25b765185d14fd65f5da12cd406f91098be87120ed364018a2db677d18
lateral_x5_y0,expanding,passed,3,1,true,true,true,accepted,e09ca80f62ee4cd63b5c94ab3861739bcea462f7cbde9044f682edfe4b75a190
lateral_x5_y0,constant_width,passed,3,1,true,true,true,accepted,bb3ccc6dffa8a535d3ab4f3173d1ab570fb4ae1534a47fc7dd3162748f744326
lateral_x5_y1,isotropic,passed,3,1,true,true,true,accepted,34cd7e38a4855923e29581d180deefbd58e9b99c74e1969a1f9c536701a6010f
