fixture,blocked,reason,evidence_sha256
wrong_direction,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
incomplete_trace,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
out_of_bounds,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
unresolved_coincidence,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
root_order,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
collapsed_roots,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
fabricated_plateau,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
corrupt_witness,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
nonfinite_probe,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
exhausted_limits,true,TimeoutError,90fa0955e0b4a8249d6dabb681eca6a5bdfdcc1c59c0e6a0720a2738c1d61385
