fixture,family,expected,observed,passed,evidence_sha256
clean_np,engineering,4,4,true,5a0dddf1325d930f7babccbe380cbc27d38a5d69c8e967368d58f645e10d9732
clean_pn,engineering,4,4,true,c554a4957288f75a7e84384ec6fa4ab2bf3f549d38c2995321dc60ac0c4376df
isolated_zero,engineering,5,5,true,8e063d7f96f4bbd390d57061e27544344f4de212bb0ec09fe6933125815d4bc6
plateau,engineering,6,6,true,bba52f84cbeba21521cf2d836aa0224449b9a2e5b5f7a7b66d9311410d37bcef
reentry,engineering,6,6,true,c23206910a1e17d257d1238dc7d7d013c10513cb4ed988375035162111f5a6ff
contradiction,engineering,6,6,true,b8fc705eaff6cf1b9cdd62b25c4ad048d865f6963cb6ac390cc77ec460d8e47e
oscillation,engineering,7,7,true,2815dcc2433f34f721f1a5a4e8fd94ee4812fcfee84b189a10ab9be7f089f423
insufficient,engineering,blocked,blocked,true,8d70f3ba040709429d06ed909edf807fedba36af981c8cabb78a501e727b12f2
rounded_plateau,engineering,6,6,true,20184b4b1e28c37c92ecd569e8ec5773be811a2abdd4402bfeb53d9a04d87c8a
asymmetric,engineering,6,6,true,9a563a45302bff80897679112c520f843a6b3538188a3429df8627feaeaecb51
onset_boundary,engineering,blocked,blocked,true,38c328bdb54b073a3340862d6b31060fee37f9a2532587656d6f355151a421cc
tie_boundary,engineering,blocked,blocked,true,1be3b0572dcd6daab8daa59380465c91dc643439e22b0b731f82284e80c3caa4
two_crossings,engineering,two,two,true,22cab2fe16f4bfd5dab7a1200a9d3a79ebc1a7c90bc9bddab3f41a67114b1f3e
duplicates,field,tie,tie,true,bd52e782f66120e919b244aad9d20d0fc8e30119d562879e942e151d0f8e69a8
no_root,engineering,no_switch,no_switch,true,12900c710ecfd3b9a189ef7f7b33a6658fc4d69eb2b04843098e380c8ee33469
