fixture,expected,observed,expected_outcome,observed_outcome,passed,evidence_sha256
clean_adjacent,A,A,returned,returned,true,364c9b74fc9f8ba0d5340640ca5aeca683be7cd33554f8ace9c1f8ebf94df3ae
isolated_zero,D,D,returned,returned,true,301c51e4e7cef6ddd28f7cf7f3818f891fc06ba84a4bd98196c686b3597a4022
zero_block,C,C,returned,returned,true,1a26368b0ef7b831241e8b39c7714dd57a8573165c344aabdb30f70f3cb6d3be
negative_zero_positive,C,C,returned,returned,true,00399cb2c388c20aeb5aedfe7e07efa50a8585f86bd1752a578070a3b54fc518
positive_zero_negative,D,D,returned,returned,true,a7a38d00038d64ba91f7458931fe72561fa2fa4b7c77dd317bd3193939cf583e
reversals,E,E,binary64_nonmonotone_unresolved,binary64_nonmonotone_unresolved,true,df3245648fe33a865ca65f9d822b565d15beb2e9be71f00e1d9a3fc2b297036b
no_transition,G,G,binary64_bracket_unavailable,binary64_bracket_unavailable,true,e1efc3c033b4769d48bd6735cb6322841114bf5d88ddc3868de786de53ce2f58
rounded_plateau,C,C,returned,returned,true,b2ea57ea406b51f6e5030576ac43a9f4530f72d8f4a813d7511a34fe48e8a32c
rounded_oscillation,F,F,binary64_nonmonotone_unresolved,binary64_nonmonotone_unresolved,true,988c060a2fc1f645c29087fda0eba4068753b152b38993f9b3afadf93431b284
adjacent_branch,D,D,returned,returned,true,b8542b9963bc10f0c47918a36a44a19f73728a0e2de258212eb4a4ac75ffd136
