test,passed
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_actual_r9ac_preflight_receipt_path_without_retained_reads,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_capture_is_independent_of_terminal_and_provider_routes,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_capture_source_failure_does_not_publish_receipt,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_changed_source_and_stale_head_block,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_duplicate_capture_and_selection_tampering,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_explicit_attempt_capture_and_offline_validation,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_future_protocol_runner_workflow_lock_bindings_block,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_git_object_capture_cli_requires_explicit_selection,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_hash_tampering_blocks_even_with_valid_source,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_historical_v1_remains_valid_but_v2_rejects,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_invalid_expectation,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_nonexistent_or_interrupted_capture_preserves_failure_and_prevents_retry,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_persisted_path_requires_v2_before_any_bound_records,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_receipt_mutations_and_noncanonical_block,True
test_checkpoint_ci_authority_v2.ReceiptV2Tests.test_source_mutations_block,True
