fixture,family,topology,expected_roots,observed_status,observed_reason,reference_passed,observation_preserved,passed,evidence_sha256
duplicates,expanding,A,,rejected,switch_sign_transition_invalid,true,true,true,b26c64327d1e0e527d9bf5fefab4e4f5bf41cc1adfd387c7c16d3ee02eefee5e
simple_crossing,engineering,B,1,returned,localized,true,true,true,e118089aeb0870db1d0225b06992365ffdb1781d3f943d0f94fdef12ade96268
tangent,engineering,C,1,rejected,switch_sign_transition_invalid,true,true,true,c8e034067298363855472bdb592dbe3069acde9e94defa258c716713d5b501b2
near_double,engineering,D,0,rejected,switch_sign_transition_invalid,true,true,true,dc77d94f7ccba433e3ce3df56ca5f52d9bc97e99ec254378925485fd3b6bb1f4
nearby_roots,engineering,E,2,rejected,switch_witnesses_unavailable,true,true,true,f107e4248b29687bdac90fed717e27b97f4539319a57651306fc6abcc6f3d2a3
endpoint,engineering,F,1,rejected,switch_sign_transition_invalid,true,true,true,3bc36a8aaec2e12fc037a00ed5899303efe9ad8ee8dfe0ccf3e1c2f76e815af1
true_interval,expanding,G,,rejected,switch_sign_transition_invalid,true,true,true,773c616c7715d4ea0543e4051d5acefccb1f0f0e7db88c8967ed3678d0c73e5c
onset_switch,engineering,G,,rejected,switch_sign_transition_invalid,true,true,true,1d41e84ef2e503463f9125a45f900025b28627605383776f992656f2228495eb
tiny_interval,engineering,B,1,returned,localized,true,true,true,88869381124aa2cb5bf2a6288199d75dc81fc100cd210438c6bb319806039fbb
nonzero_interior,engineering,F,2,rejected,switch_sign_transition_invalid,true,true,true,6e9a63f73ea154650104c34f125b62f744d6d9d2bd6da6ee10fd3b2b9e87dfb4
multiway,engineering,B,1,returned,localized,true,true,true,9e274fabd955cecb6b366ce7320b58fe0a68730803a72dc771713f85ee214109
