fixture,expected_failure,blocked,reason,evidence_sha256
missing_switch,structural_authority_mismatch,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
extra_boundary,structural_authority_mismatch,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
malformed_order,partition_order,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
overlapping_partitions,partition_order,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
uncovered_domain,partition_coverage,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
invalid_tie_endpoint,invalid_tie_endpoint,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
wrong_owner_witness,witness_owners,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
nonfinite_boundary,partition_nonfinite,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
biased_integrand,piecewise_unsplit,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
unmatched_warning,warning,True,RuntimeWarning,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
nonfinite_integrand,adaptive_nonfinite,True,GateFailure,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
