fixture,candidate,family,status,reference_kind,within_gate,production_preserved,piecewise_preserved,boundaries_exact,components,permutations,reason,evidence_sha256
smooth_no_switch,synthetic,smooth,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
single_onset,synthetic,onset,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
single_certified_switch,synthetic,switch,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
close_onset_switch,synthetic,onset_switch,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
exact_tie_endpoint,synthetic,tie,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
multiway_plateau,synthetic,multiway_tie,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
multiple_switches,synthetic,multiple_switches,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
razor_thin_partition,synthetic,adjacent_float,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
micro_residual,synthetic,micro_residual,passed,analytic,True,True,True,True,1,0,analytic_reference,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_1,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_1,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_1,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_3,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_3,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_3,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_4,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_4,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
axial_4,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y1,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y1,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y1,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y5,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y5,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x5_y5,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y0,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y0,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y0,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y1,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y1,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y1,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y2,isotropic,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y2,expanding,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
lateral_x10_y2,constant_width,historical_authority,passed,frozen_64_epsilon,True,True,True,True,3,1,frozen_historical_vector,a6aa2355816d2c9bfd809fdca9ac426bcf35396ce09b8e99bd3eec79863b7825
