ordinal,kind,status,accurate,inaccurate,reason,evidence_sha256
0,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
1,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
2,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
3,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
4,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
5,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
6,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
7,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
8,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
9,strict_piecewise,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
0,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
1,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
2,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
3,onset_adaptive,available,False,True,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
4,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
5,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
6,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
7,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
8,onset_adaptive,available,True,False,exact_values_private,9b64e7d87f0a1076ca27c6c1828dbacd4f15e7afe8a507719d08b83b497b0192
