fixture,candidate,component,intervals,estimate,reference,absolute_error,reference_interval_lower,reference_interval_upper,point_to_interval_distance,passed
axial_1,isotropic,individual_1,512,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,0.0015565322681586188,0.0015565322681586188,2.886369680592249e-11,True
axial_1,isotropic,union,512,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,0.0015565322681586188,0.0015565322681586188,2.886369680592249e-11,True
axial_1,isotropic,maximum,512,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,0.0015565322681586186,0.001556532268158619,0.0,True
axial_1,expanding,individual_1,512,0.0,0.0,0.0,0.0,0.0,0.0,True
axial_1,expanding,union,512,0.0,-0.0,0.0,-0.0,-0.0,0.0,True
axial_1,expanding,maximum,512,0.0,0.0,0.0,0.0,5e-324,0.0,True
axial_1,constant_width,individual_1,512,0.0,0.0,0.0,0.0,0.0,0.0,True
axial_1,constant_width,union,512,0.0,-0.0,0.0,-0.0,-0.0,0.0,True
axial_1,constant_width,maximum,512,0.0,0.0,0.0,0.0,5e-324,0.0,True
axial_2,isotropic,individual_1,512,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,0.2491062951949334,0.2491062951949334,2.8863661460931667e-11,True
axial_2,isotropic,union,512,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,0.2491062951949334,0.2491062951949334,2.8863661460931667e-11,True
axial_2,isotropic,maximum,512,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,0.24910629519493338,0.24910629519493344,0.0,True
axial_2,expanding,individual_1,2048,0.7249999955432335,0.725,4.4567665113959265e-09,0.725,0.725,4.4567665113959265e-09,True
axial_2,expanding,union,2048,0.7249999955432335,0.725,4.4567665113959265e-09,0.725,0.725,4.4567665113959265e-09,True
axial_2,expanding,maximum,2048,0.7249999955432335,0.725,4.4567665113959265e-09,0.7249999999999999,0.7250000000000001,0.0,True
axial_2,constant_width,individual_1,2048,0.7249999955432335,0.725,4.4567665113959265e-09,0.725,0.725,4.4567665113959265e-09,True
