fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
axial_1,isotropic,passed,3,1,true,true,true,accepted,5c37909e538bedb73d7b1490bb3f992374bffb094dfc3f222d9634eb768ad84a
axial_1,expanding,passed,3,1,true,true,true,accepted,c9d82ddf8c4f9088e4ab81d0dc1ad8cc7f793b41011e6d646428e391d7f15c25
axial_1,constant_width,passed,3,1,true,true,true,accepted,16ec53d5c296ebb6814231b80193d38fc793ba8e660d1711ab420088d61d8dec
axial_2,isotropic,passed,3,1,true,true,true,accepted,726db4aedc08e9768d40612188e49daacea92a5201ddaf4b63d390ddca2ec896
axial_2,expanding,passed,3,1,true,true,true,accepted,c8dac20d265598fb787ff6f4c383f900b7141fc140c758bf619511394feba162
axial_2,constant_width,passed,3,1,true,true,true,accepted,6886b25a6ac02cb88c10179037f4eb2a543e1eff2f7511e15ac508f379eb0f1d
axial_3,isotropic,passed,3,1,true,true,true,accepted,be514a83ccf5daaf9955143bedf90695273c6f8488e8ea288defe616fa46b493
axial_3,expanding,passed,3,1,true,true,true,accepted,6313ca27a6e340d9ca0460b7539eb786ba0b9a026c6bdec8f479c47cfe413736
axial_3,constant_width,passed,3,1,true,true,true,accepted,70f9cd11056d1ceb1ebb351c4e0d55b27ead37c7b441899ac9cbc2d20706d89c
axial_4,isotropic,passed,3,1,true,true,true,accepted,2c6cf382c6a0ae4a596549e3d2bb867032fb227d791f358c0776666e66519eb0
axial_4,expanding,passed,3,1,true,true,true,accepted,1eac051f16b2c304951223a40ae855fb23767be098d88e32e1eb96413abab7ac
axial_4,constant_width,passed,3,1,true,true,true,accepted,0febbad6dfea3f52a8e9bda518af49addbcbb6a2e9833c56d7f253e56e786d87
lateral_x5_y0,isotropic,passed,3,1,true,true,true,accepted,c7bf0967b8a2688de405025b0698b20c687bc5b22298e08dd33bc7a80ec34924
lateral_x5_y0,expanding,passed,3,1,true,true,true,accepted,bcfd9b97ebcf46ab1cb3c20c8c3b851d1470d7acf59efe9d094539add670a7d4
lateral_x5_y0,constant_width,passed,3,1,true,true,true,accepted,5fb043f94c7f8f0c7ca6232ef851e695ce65846573711022ed90e6edadcb6f8d
