fixture,family,expected,observed,passed,evidence_sha256
same_sign,engineering,A,A,true,7beb0428fb4d7cbbe8da1bb4d4d95dd543ae487064c3399314489903a604946f
simple,engineering,B,B,true,6e583124857cf7773397c6760a99dd8fe749ee7bfd09d2e1e08e8f46e2e7dd59
monotone,engineering,B,B,true,7cfd7242ef768b7dba13b748c119df540fc2f5120bba4f2c5c3a959b70e4901e
nonmonotone_no_root,engineering,A,A,true,0c541cdf8a856c6cc44b6f70972ede92b398832193ab2f4f0a33558a2a262ba1
endpoint,engineering,D,D,true,c1bcc38d3c140e0b44331af8320895edb812c59839de4a1974995846cfbbcfd3
tangent,engineering,E,E,true,9dd5697aa91a0db95a4160196dad9a365c45b9051454e58a7b5cccdc38b04e03
positive_perturbation,engineering,A,A,true,20d39a07a719c92a97b27bdbef93a28bd01aa0fc0fd503df35559a494c989518
nearby,engineering,F,F,true,17081c4a58307e8686942e9f3ec5be694e37d0bcca241c832c6f470fa5aa2f49
duplicates,field,C,C,true,e78ba8e7e9e7e805d430b9a97dcdcb8bdf5fbad2c7b1a0766c3f8d16b24d3c8e
inactive,field,C,C,true,3ef9ce5436c05d18900e739b35ae85e694e503e20344196a6d92b25ab4779311
onset_coincidence,engineering,B,B,true,5edcb08d6637cec69253fd09e37acc09a8a2ef411191b53b69e9b6272ba8a19e
multiway,engineering,B,B,true,5a7775c7193c6b95502a826f6501b216fa5e3b9c885e7d6cbdde6bce5495097e
tiny_unresolved,engineering,G,G,true,c044715970a266b0d38c09ea0780e7a5db78aebc4c829a8a79d7f685d7637742
rounded_sign_reversal,engineering,A,A,true,e3bfbdb9eb2705aa2e9e6a7abf15afb85a4ee146c7ebee5aee758e46712f6a6f
