fixture,expected,observed,source_discarded,passed,evidence_sha256
pair_globally_maximal,TA,TA,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
third_defender_dominant,TB,TB,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
dominance_switch,TC,TC,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
equality_inside_cell,TD,TD,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
unresolved,TE,TE,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
tampered_coefficients,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
tampered_bounds,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
wrong_authority_hash,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
missing_field,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
version_mismatch,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
noncanonical_fraction,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
missing_competitor,blocked,blocked,true,true,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
