candidate,components,evidence_sha256,fixture,permutations,production_preserved,reason,status,structure_exact,verification_preserved
isotropic,3,120677b9f51792c9fb842b0744998916c04de358abf212161217522b0d8d30d9,axial_1,1,True,accepted,passed,True,True
expanding,3,3a6f8cfd6a5d9f93f42d99ffee83446c1485eccb2fec389d0da6dab1278ef890,axial_1,1,True,accepted,passed,True,True
constant_width,3,9bfe5a5665bf6e23fd3e56c99cccd155cdb8351a16f278acc9b70fc0b9dc9400,axial_1,1,True,accepted,passed,True,True
isotropic,3,b696c4c2c69e7804659fdc2435dbbcbe5c0c5a6b234ceedf6dca35b7a811bd83,axial_2,1,True,accepted,passed,True,True
expanding,3,57ccd31e9d5c6744692ab67653249b0bf8899bc7d8604f88f405791b7db0e4ef,axial_2,1,True,accepted,passed,True,True
constant_width,3,e2cba08862dcd74cb193a6ebb6b258b42a75cae7d29514ee3a650b3b9758ac82,axial_2,1,True,accepted,passed,True,True
isotropic,3,0196c2d5e547d33f7b0110f5d277dc93c6b39a9a4c203312ea3b241bfd28f093,axial_3,1,True,accepted,passed,True,True
expanding,3,4062485ef356992d0dc843865412d44c49b2f0fb8b800ce00724ac4838ea8e2b,axial_3,1,True,accepted,passed,True,True
constant_width,3,e459475922677b052c9224fb6d3c9f9e37993a49905fd3db579e467ebfb8039b,axial_3,1,True,accepted,passed,True,True
isotropic,3,ef24a25de87d5960075eaf1d37df95450315f10530da4e9c422e9389d30485c1,axial_4,1,True,accepted,passed,True,True
expanding,3,e83451dbcfbf87cb6056c65e5d74aad87ab0c381f0a8218b5bb590cde9f445b8,axial_4,1,True,accepted,passed,True,True
constant_width,3,b1b082598b42a316833aa3d668385a906a00bccb1e57eeabbc264e3420a8d09c,axial_4,1,True,accepted,passed,True,True
isotropic,3,78e2b3baa67a1d630d9df329f232c8d8809ebc1c8f07b5f12d0deed9bc2faa1e,lateral_x5_y0,1,True,accepted,passed,True,True
expanding,3,4967eed44cf58610439687c7099e3614d82985f05ca7521a5b4e1b0896dbb30f,lateral_x5_y0,1,True,accepted,passed,True,True
constant_width,3,80b563732ed9c4be5eed0f0f39dee95e95d72e691d9861077b881b00a13b0ab4,lateral_x5_y0,1,True,accepted,passed,True,True
isotropic,3,c0a8a29563f361719e12390d2865ed39d12b8b49111b14425c8b26731aafd13f,lateral_x5_y1,1,True,accepted,passed,True,True
expanding,3,43d5470aaed5c136c8c601630c810cb8dc4e204e619f620efbc9f8c152c872e8,lateral_x5_y1,1,True,accepted,passed,True,True
constant_width,3,8ec444ed3a728ac739f3f40a4683d49715cc938969dfd2b65fa22e7e6eb88b00,lateral_x5_y1,1,True,accepted,passed,True,True
isotropic,3,cb5b16f2da7139404216fa9583d94037983a28884994318b12adf3fa4459edac,lateral_x5_y2,1,True,accepted,passed,True,True
expanding,3,1e1da7def048a5f562be7b12ec10a16b764b81cc7b89519e41e9ccf3af25ef65,lateral_x5_y2,1,True,accepted,passed,True,True
constant_width,3,c257513b4e3b95aac5f2429bfab76cc97e61c979b3d84162034747f8e5b7f987,lateral_x5_y2,1,True,accepted,passed,True,True
isotropic,3,06819e5e8997c737a29f22f4005146ff02773e69b7f799e5f66be55d5a23c67c,lateral_x5_y5,1,True,accepted,passed,True,True
expanding,3,7d18814faacae60ebacff199078620a2fb3b0c831d036f09250f674bc5bf4631,lateral_x5_y5,1,True,accepted,passed,True,True
constant_width,3,f26e90af4bbe039a9a98a1c7547274dabd0e9df8a7d82cea609ff415203ea231,lateral_x5_y5,1,True,accepted,passed,True,True
isotropic,3,08f46bfb62766c8ddde2e82ad85b23474ecff2d16e9824965b5b9e68de310e83,lateral_x10_y0,1,True,accepted,passed,True,True
expanding,3,1b2a317811c5cd1e8c680d91a876380681e5b30086491f95c038e0f6165b4bd4,lateral_x10_y0,1,True,accepted,passed,True,True
constant_width,3,7a2c56bae7dd377c34a1f32ecf724b8419b847c92f7507b3ff4f49b68af981fe,lateral_x10_y0,1,True,accepted,passed,True,True
isotropic,3,6e1becc0c7b30879b97a5b48c495a49f10d7ac4ebc6429a06c7ee5137b672119,lateral_x10_y1,1,True,accepted,passed,True,True
expanding,3,0dc60717fbc32f61830a52ee028524686b60518e2ef1e13b5b2e5c44c6711459,lateral_x10_y1,1,True,accepted,passed,True,True
constant_width,3,ffce0e3d0d90c9dbe11d513623f6412398c1a128b0797df4397aebe482eb400f,lateral_x10_y1,1,True,accepted,passed,True,True
isotropic,3,3cc3a65add938c21aa63adf5c2e06ac62551bf385966e1f2fae2e455d81b5db6,lateral_x10_y2,1,True,accepted,passed,True,True
expanding,3,a74441a90597611bacdc9585c7a973dae2475854f6618e979f6f8a7ebc990093,lateral_x10_y2,1,True,accepted,passed,True,True
constant_width,3,ef5fc060f6789b07cbe6aa520a87990ba6bf5bc538ebb366555b9f43f5f53230,lateral_x10_y2,1,True,accepted,passed,True,True
