blocked,evidence_sha256,fixture,reason
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,incomplete_competitors,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,missing_proof,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,malformed_partition,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,overlapping_regions,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,uncovered_domain,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,invalid_witness,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,unresolved_region,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,wrong_lineage,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,owner_tolerance,VerificationError
True,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429,fabricated_boundary,VerificationError
