fixture,expected,observed,passed,evidence_sha256
maximal_interval,A,accept,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
truncated_interval,B,diagnose,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
point_tie,C,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
switch_endpoint,D,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
onset_endpoint,G,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
three_way_maximal,A,accept,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
tolerance_only_tie,E,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
duplicate_functions,A,route_duplicate,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
third_defender_dominance,F,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
tiny_unresolved,I,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
malformed_ordering,H,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
oscillatory_binary64,I,reject,true,2abe5f916265275a94c157bd1a93c55f96d352863cbdce618a40418af3a2ebc6
