fixture,candidate,component,reference_source,intervals,successive_vector_difference,estimate,reference,absolute_error,passed
axial_1,isotropic,individual_1,14b,512,4.3311868501427764e-10,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,True
axial_1,isotropic,union,14b,512,4.3311868501427764e-10,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,True
axial_1,isotropic,maximum,14b,512,4.3311868501427764e-10,0.0015565322970223156,0.0015565322681586188,2.886369680592249e-11,True
axial_1,expanding,individual_1,14b,512,0.0,0.0,0.0,0.0,True
axial_1,expanding,union,14b,512,0.0,0.0,-0.0,0.0,True
axial_1,expanding,maximum,14b,512,0.0,0.0,0.0,0.0,True
axial_1,constant_width,individual_1,14b,512,0.0,0.0,0.0,0.0,True
axial_1,constant_width,union,14b,512,0.0,0.0,-0.0,0.0,True
axial_1,constant_width,maximum,14b,512,0.0,0.0,0.0,0.0,True
axial_2,isotropic,individual_1,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
axial_2,isotropic,union,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
axial_2,isotropic,maximum,14b,512,4.331186798101072e-10,0.24910629516606975,0.2491062951949334,2.8863661460931667e-11,True
axial_2,expanding,individual_1,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_2,expanding,union,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_2,expanding,maximum,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_2,constant_width,individual_1,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_2,constant_width,union,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_2,constant_width,maximum,14b,2048,5.313389306316196e-08,0.7249999955432335,0.725,4.4567665113959265e-09,True
axial_3,isotropic,individual_1,14b,512,0.0,0.12533141373155002,0.12533141373155002,0.0,True
axial_3,isotropic,union,14b,512,0.0,0.12533141373155002,0.12533141373155002,0.0,True
axial_3,isotropic,maximum,14b,512,0.0,0.12533141373155002,0.12533141373155002,0.0,True
