candidate,geometry,branch,step,left,at,right,oracle_passed
isotropic,axial,0.0,0.1,0.9987507809245809,1.0,0.9987507809245809,True
isotropic,axial,0.0,0.01,0.9999875000781246,1.0,0.9999875000781246,True
isotropic,axial,0.0,0.001,0.9999998750000079,1.0,0.9999998750000079,True
isotropic,axial,0.0,0.0001,0.99999999875,1.0,0.99999999875,True
isotropic,axial,0.0,1e-05,0.9999999999875,1.0,0.9999999999875,True
isotropic,axial,0.0,1e-06,0.999999999999875,1.0,0.999999999999875,True
isotropic,axial,1.0,0.1,0.903707077873196,0.8824969025845955,0.8596327636025423,True
isotropic,axial,1.0,0.01,0.8846948461887891,0.8824969025845955,0.8802824122352959,True
isotropic,axial,1.0,0.001,0.8827174440508807,0.8824969025845955,0.8822761956501483,True
isotropic,axial,1.0,0.0001,0.8825189641797938,0.8824969025845955,0.8824748393347153,True
isotropic,axial,1.0,1e-05,0.8824991088185783,0.8824969025845955,0.8824946963340656,True
isotropic,axial,1.0,1e-06,0.8824971232087383,0.8824969025845955,0.882496681960287,True
expanding,axial,0.0,0.1,0.0,0.0,0.02799999999999981,True
expanding,axial,0.0,0.01,0.0,0.0,0.00029799999999998735,True
expanding,axial,0.0,0.001,0.0,0.0,2.9980000000020015e-06,True
expanding,axial,0.0,0.0001,0.0,0.0,2.999799999986018e-08,True
expanding,axial,0.0,1e-05,0.0,0.0,2.999979999772856e-10,True
expanding,axial,0.0,1e-06,0.0,0.0,2.999998000838667e-12,True
expanding,axial,1.0,0.1,0.9720000000000002,1.0,1.0,True
expanding,axial,1.0,0.01,0.999702,1.0,1.0,True
expanding,axial,1.0,0.001,0.9999970020000001,1.0,1.0,True
expanding,axial,1.0,0.0001,0.999999970002,1.0,1.0,True
expanding,axial,1.0,1e-05,0.999999999700002,1.0,1.0,True
expanding,axial,1.0,1e-06,0.999999999997,1.0,1.0,True
constant_width,axial,0.0,0.1,0.0,0.0,0.02799999999999981,True
constant_width,axial,0.0,0.01,0.0,0.0,0.00029799999999998735,True
constant_width,axial,0.0,0.001,0.0,0.0,2.9980000000020015e-06,True
constant_width,axial,0.0,0.0001,0.0,0.0,2.999799999986018e-08,True
constant_width,axial,0.0,1e-05,0.0,0.0,2.999979999772856e-10,True
constant_width,axial,0.0,1e-06,0.0,0.0,2.999998000838667e-12,True
constant_width,axial,1.0,0.1,0.9720000000000002,1.0,1.0,True
constant_width,axial,1.0,0.01,0.999702,1.0,1.0,True
constant_width,axial,1.0,0.001,0.9999970020000001,1.0,1.0,True
constant_width,axial,1.0,0.0001,0.999999970002,1.0,1.0,True
constant_width,axial,1.0,1e-05,0.999999999700002,1.0,1.0,True
constant_width,axial,1.0,1e-06,0.999999999997,1.0,1.0,True
isotropic,rotated,0.0,0.1,0.9987507809245809,1.0,0.9987507809245809,True
isotropic,rotated,0.0,0.01,0.9999875000781246,1.0,0.9999875000781246,True
isotropic,rotated,0.0,0.001,0.9999998750000079,1.0,0.9999998750000079,True
isotropic,rotated,0.0,0.0001,0.99999999875,1.0,0.99999999875,True
isotropic,rotated,0.0,1e-05,0.9999999999875,1.0,0.9999999999875,True
isotropic,rotated,0.0,1e-06,0.999999999999875,1.0,0.999999999999875,True
isotropic,rotated,1.0,0.1,0.903707077873196,0.8824969025845955,0.8596327636025421,True
isotropic,rotated,1.0,0.01,0.8846948461887891,0.8824969025845955,0.8802824122352959,True
isotropic,rotated,1.0,0.001,0.8827174440508807,0.8824969025845955,0.8822761956501481,True
isotropic,rotated,1.0,0.0001,0.8825189641797938,0.8824969025845955,0.8824748393347153,True
isotropic,rotated,1.0,1e-05,0.8824991088185785,0.8824969025845955,0.8824946963340655,True
isotropic,rotated,1.0,1e-06,0.8824971232087383,0.8824969025845955,0.8824966819602871,True
expanding,rotated,0.0,0.1,0.0,0.0,0.027999999999999896,True
expanding,rotated,0.0,0.01,0.0,0.0,0.00029800000000000844,True
expanding,rotated,0.0,0.001,0.0,0.0,2.998000000000937e-06,True
expanding,rotated,0.0,0.0001,0.0,0.0,2.99980000001799e-08,True
expanding,rotated,0.0,1e-05,0.0,0.0,2.9999799998794367e-10,True
expanding,rotated,0.0,1e-06,0.0,0.0,2.999997999772855e-12,True
expanding,rotated,1.0,0.1,0.9720000000000001,1.0,1.0,True
expanding,rotated,1.0,0.01,0.999702,1.0,1.0,True
expanding,rotated,1.0,0.001,0.9999970020000001,1.0,1.0,True
expanding,rotated,1.0,0.0001,0.999999970002,1.0,1.0,True
expanding,rotated,1.0,1e-05,0.999999999700002,1.0,1.0,True
expanding,rotated,1.0,1e-06,0.999999999997,1.0,1.0,True
constant_width,rotated,0.0,0.1,0.0,0.0,0.027999999999999896,True
constant_width,rotated,0.0,0.01,0.0,0.0,0.00029800000000000844,True
constant_width,rotated,0.0,0.001,0.0,0.0,2.998000000000937e-06,True
constant_width,rotated,0.0,0.0001,0.0,0.0,2.99980000001799e-08,True
constant_width,rotated,0.0,1e-05,0.0,0.0,2.9999799998794367e-10,True
constant_width,rotated,0.0,1e-06,0.0,0.0,2.999997999772855e-12,True
constant_width,rotated,1.0,0.1,0.9720000000000001,1.0,1.0,True
constant_width,rotated,1.0,0.01,0.999702,1.0,1.0,True
constant_width,rotated,1.0,0.001,0.9999970020000001,1.0,1.0,True
constant_width,rotated,1.0,0.0001,0.999999970002,1.0,1.0,True
constant_width,rotated,1.0,1e-05,0.999999999700002,1.0,1.0,True
constant_width,rotated,1.0,1e-06,0.999999999997,1.0,1.0,True
negative_control,step,0.5,0.0,0.2,0.8,0.8,True
