fixture,candidate,component,expected_historical,local_actual,ci_actual,local_expected_equal,local_expected_bitwise_equal,local_expected_absolute_difference,local_expected_relative_difference,local_expected_ulp_distance,ci_available
axial_1,isotropic,individual_1,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_1,isotropic,union,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_1,isotropic,maximum,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_1,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_1,expanding,union,0.0,0.0,,True,True,0.0,,0,False
axial_1,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
axial_1,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_1,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
axial_1,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
axial_2,isotropic,individual_1,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
axial_2,isotropic,union,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
axial_2,isotropic,maximum,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
axial_2,expanding,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_2,expanding,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_2,expanding,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_2,constant_width,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_2,constant_width,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_2,constant_width,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
axial_3,isotropic,individual_1,0.12533141373155002,0.12533141373155002,,True,True,0.0,0.0,0,False
axial_3,isotropic,union,0.12533141373155002,0.12533141373155002,,True,True,0.0,0.0,0,False
axial_3,isotropic,maximum,0.12533141373155002,0.12533141373155002,,True,True,0.0,0.0,0,False
axial_3,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_3,expanding,union,0.0,0.0,,True,True,0.0,,0,False
axial_3,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
axial_3,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_3,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
axial_3,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
axial_4,isotropic,individual_1,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_4,isotropic,union,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_4,isotropic,maximum,0.0015565322970223156,0.0015565322970223156,,True,True,0.0,0.0,0,False
axial_4,expanding,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_4,expanding,union,0.0,0.0,,True,True,0.0,,0,False
axial_4,expanding,maximum,0.0,0.0,,True,True,0.0,,0,False
axial_4,constant_width,individual_1,0.0,0.0,,True,True,0.0,,0,False
axial_4,constant_width,union,0.0,0.0,,True,True,0.0,,0,False
axial_4,constant_width,maximum,0.0,0.0,,True,True,0.0,,0,False
lateral_x5_y0,isotropic,individual_1,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
lateral_x5_y0,isotropic,union,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
lateral_x5_y0,isotropic,maximum,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
lateral_x5_y0,expanding,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y0,expanding,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y0,expanding,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y0,constant_width,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y0,constant_width,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y0,constant_width,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
lateral_x5_y1,isotropic,individual_1,0.2198355338983805,0.2198355338983805,,True,True,0.0,0.0,0,False
lateral_x5_y1,isotropic,union,0.2198355338983805,0.2198355338983805,,True,True,0.0,0.0,0,False
lateral_x5_y1,isotropic,maximum,0.2198355338983805,0.2198355338983805,,True,True,0.0,0.0,0,False
lateral_x5_y1,expanding,individual_1,0.5424834393963139,0.5424834393963139,,True,True,0.0,0.0,0,False
lateral_x5_y1,expanding,union,0.5424834393963139,0.5424834393963139,,True,True,0.0,0.0,0,False
lateral_x5_y1,expanding,maximum,0.5424834393963139,0.5424834393963139,,True,True,0.0,0.0,0,False
lateral_x5_y1,constant_width,individual_1,0.33600981512031436,0.33600981512031436,,True,True,0.0,0.0,0,False
lateral_x5_y1,constant_width,union,0.33600981512031436,0.33600981512031436,,True,True,0.0,0.0,0,False
lateral_x5_y1,constant_width,maximum,0.33600981512031436,0.33600981512031436,,True,True,0.0,0.0,0,False
lateral_x5_y2,isotropic,individual_1,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x5_y2,isotropic,union,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x5_y2,isotropic,maximum,0.15109060554564627,0.15109060554564627,,True,True,0.0,0.0,0,False
lateral_x5_y2,expanding,individual_1,0.22779054780651387,0.22779054780651387,,True,True,0.0,0.0,0,False
lateral_x5_y2,expanding,union,0.22779054780651387,0.22779054780651387,,True,True,0.0,0.0,0,False
lateral_x5_y2,expanding,maximum,0.22779054780651387,0.22779054780651387,,True,True,0.0,0.0,0,False
lateral_x5_y2,constant_width,individual_1,0.0808052801538935,0.0808052801538935,,True,True,0.0,0.0,0,False
lateral_x5_y2,constant_width,union,0.0808052801538935,0.0808052801538935,,True,True,0.0,0.0,0,False
lateral_x5_y2,constant_width,maximum,0.0808052801538935,0.0808052801538935,,True,True,0.0,0.0,0,False
lateral_x5_y5,isotropic,individual_1,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x5_y5,isotropic,union,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x5_y5,isotropic,maximum,0.010944966755884543,0.010944966755884543,,True,True,0.0,0.0,0,False
lateral_x5_y5,expanding,individual_1,0.00018246146284270435,0.00018246146284270435,,True,True,0.0,0.0,0,False
lateral_x5_y5,expanding,union,0.00018246146284270435,0.00018246146284270435,,True,True,0.0,0.0,0,False
lateral_x5_y5,expanding,maximum,0.00018246146284270435,0.00018246146284270435,,True,True,0.0,0.0,0,False
lateral_x5_y5,constant_width,individual_1,2.9838335238265077e-05,2.9838335238265077e-05,,True,True,0.0,0.0,0,False
lateral_x5_y5,constant_width,union,2.9838335238265077e-05,2.9838335238265077e-05,,True,True,0.0,0.0,0,False
lateral_x5_y5,constant_width,maximum,2.9838335238265077e-05,2.9838335238265077e-05,,True,True,0.0,0.0,0,False
lateral_x10_y0,isotropic,individual_1,0.2506626837572468,0.2506626837572468,,True,True,0.0,0.0,0,False
lateral_x10_y0,isotropic,union,0.2506626837572468,0.2506626837572468,,True,True,0.0,0.0,0,False
lateral_x10_y0,isotropic,maximum,0.2506626837572468,0.2506626837572468,,True,True,0.0,0.0,0,False
lateral_x10_y0,expanding,individual_1,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y0,expanding,union,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y0,expanding,maximum,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y0,constant_width,individual_1,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y0,constant_width,union,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y0,constant_width,maximum,0.4749999955432334,0.4749999955432334,,True,True,0.0,0.0,0,False
lateral_x10_y1,isotropic,individual_1,0.22120904200931227,0.22120904200931227,,True,True,0.0,0.0,0,False
lateral_x10_y1,isotropic,union,0.22120904200931227,0.22120904200931227,,True,True,0.0,0.0,0,False
lateral_x10_y1,isotropic,maximum,0.22120904200931227,0.22120904200931227,,True,True,0.0,0.0,0,False
lateral_x10_y1,expanding,individual_1,0.4101291178147735,0.4101291178147735,,True,True,0.0,0.0,0,False
lateral_x10_y1,expanding,union,0.4101291178147735,0.4101291178147735,,True,True,0.0,0.0,0,False
lateral_x10_y1,expanding,maximum,0.4101291178147735,0.4101291178147735,,True,True,0.0,0.0,0,False
lateral_x10_y1,constant_width,individual_1,0.350354897868058,0.350354897868058,,True,True,0.0,0.0,0,False
