fixture,candidate,intervals,differing_components,maximum_absolute_difference,accepted_local,accepted_ci
axial_1,isotropic,256,0,0.0,False,False
axial_1,isotropic,512,0,0.0,True,True
axial_1,isotropic,1024,0,0.0,False,False
axial_1,isotropic,2048,0,0.0,False,False
axial_1,isotropic,4096,0,0.0,False,False
axial_1,isotropic,8192,0,0.0,False,False
axial_1,isotropic,16384,0,0.0,False,False
axial_1,expanding,256,0,0.0,False,False
axial_1,expanding,512,0,0.0,True,True
axial_1,expanding,1024,0,0.0,False,False
axial_1,expanding,2048,0,0.0,False,False
axial_1,expanding,4096,0,0.0,False,False
axial_1,expanding,8192,0,0.0,False,False
axial_1,expanding,16384,0,0.0,False,False
axial_1,constant_width,256,0,0.0,False,False
axial_1,constant_width,512,0,0.0,True,True
axial_1,constant_width,1024,0,0.0,False,False
axial_1,constant_width,2048,0,0.0,False,False
axial_1,constant_width,4096,0,0.0,False,False
axial_1,constant_width,8192,0,0.0,False,False
axial_1,constant_width,16384,0,0.0,False,False
axial_2,isotropic,256,0,0.0,False,False
axial_2,isotropic,512,0,0.0,True,True
axial_2,isotropic,1024,0,0.0,False,False
axial_2,isotropic,2048,0,0.0,False,False
axial_2,isotropic,4096,3,5.551115123125783e-17,False,False
axial_2,isotropic,8192,0,0.0,False,False
axial_2,isotropic,16384,0,0.0,False,False
axial_2,expanding,256,0,0.0,False,False
axial_2,expanding,512,0,0.0,False,False
axial_2,expanding,1024,0,0.0,False,False
axial_2,expanding,2048,0,0.0,True,True
axial_2,expanding,4096,0,0.0,False,False
axial_2,expanding,8192,0,0.0,False,False
axial_2,expanding,16384,0,0.0,False,False
axial_2,constant_width,256,0,0.0,False,False
axial_2,constant_width,512,0,0.0,False,False
axial_2,constant_width,1024,0,0.0,False,False
axial_2,constant_width,2048,0,0.0,True,True
axial_2,constant_width,4096,0,0.0,False,False
axial_2,constant_width,8192,0,0.0,False,False
axial_2,constant_width,16384,0,0.0,False,False
axial_3,isotropic,256,0,0.0,False,False
axial_3,isotropic,512,0,0.0,True,True
axial_3,isotropic,1024,0,0.0,False,False
axial_3,isotropic,2048,0,0.0,False,False
axial_3,isotropic,4096,0,0.0,False,False
axial_3,isotropic,8192,0,0.0,False,False
axial_3,isotropic,16384,0,0.0,False,False
axial_3,expanding,256,0,0.0,False,False
axial_3,expanding,512,0,0.0,True,True
axial_3,expanding,1024,0,0.0,False,False
axial_3,expanding,2048,0,0.0,False,False
axial_3,expanding,4096,0,0.0,False,False
axial_3,expanding,8192,0,0.0,False,False
axial_3,expanding,16384,0,0.0,False,False
axial_3,constant_width,256,0,0.0,False,False
axial_3,constant_width,512,0,0.0,True,True
axial_3,constant_width,1024,0,0.0,False,False
axial_3,constant_width,2048,0,0.0,False,False
axial_3,constant_width,4096,0,0.0,False,False
axial_3,constant_width,8192,0,0.0,False,False
axial_3,constant_width,16384,0,0.0,False,False
axial_4,isotropic,256,0,0.0,False,False
axial_4,isotropic,512,0,0.0,True,True
axial_4,isotropic,1024,0,0.0,False,False
axial_4,isotropic,2048,0,0.0,False,False
axial_4,isotropic,4096,0,0.0,False,False
axial_4,isotropic,8192,0,0.0,False,False
axial_4,isotropic,16384,0,0.0,False,False
axial_4,expanding,256,0,0.0,False,False
axial_4,expanding,512,0,0.0,True,True
axial_4,expanding,1024,0,0.0,False,False
axial_4,expanding,2048,0,0.0,False,False
axial_4,expanding,4096,0,0.0,False,False
axial_4,expanding,8192,0,0.0,False,False
axial_4,expanding,16384,0,0.0,False,False
axial_4,constant_width,256,0,0.0,False,False
axial_4,constant_width,512,0,0.0,True,True
axial_4,constant_width,1024,0,0.0,False,False
axial_4,constant_width,2048,0,0.0,False,False
axial_4,constant_width,4096,0,0.0,False,False
axial_4,constant_width,8192,0,0.0,False,False
axial_4,constant_width,16384,0,0.0,False,False
lateral_x5_y0,isotropic,256,0,0.0,False,False
lateral_x5_y0,isotropic,512,0,0.0,True,True
lateral_x5_y0,isotropic,1024,0,0.0,False,False
lateral_x5_y0,isotropic,2048,0,0.0,False,False
lateral_x5_y0,isotropic,4096,3,5.551115123125783e-17,False,False
lateral_x5_y0,isotropic,8192,0,0.0,False,False
lateral_x5_y0,isotropic,16384,0,0.0,False,False
lateral_x5_y0,expanding,256,0,0.0,False,False
lateral_x5_y0,expanding,512,0,0.0,False,False
lateral_x5_y0,expanding,1024,0,0.0,False,False
lateral_x5_y0,expanding,2048,0,0.0,True,True
lateral_x5_y0,expanding,4096,0,0.0,False,False
lateral_x5_y0,expanding,8192,0,0.0,False,False
lateral_x5_y0,expanding,16384,0,0.0,False,False
lateral_x5_y0,constant_width,256,0,0.0,False,False
lateral_x5_y0,constant_width,512,0,0.0,False,False
lateral_x5_y0,constant_width,1024,0,0.0,False,False
lateral_x5_y0,constant_width,2048,0,0.0,True,True
lateral_x5_y0,constant_width,4096,0,0.0,False,False
lateral_x5_y0,constant_width,8192,0,0.0,False,False
lateral_x5_y0,constant_width,16384,0,0.0,False,False
lateral_x5_y1,isotropic,256,0,0.0,False,False
lateral_x5_y1,isotropic,512,0,0.0,True,True
lateral_x5_y1,isotropic,1024,0,0.0,False,False
lateral_x5_y1,isotropic,2048,0,0.0,False,False
lateral_x5_y1,isotropic,4096,0,0.0,False,False
lateral_x5_y1,isotropic,8192,0,0.0,False,False
lateral_x5_y1,isotropic,16384,0,0.0,False,False
lateral_x5_y1,expanding,256,0,0.0,False,False
lateral_x5_y1,expanding,512,0,0.0,False,False
lateral_x5_y1,expanding,1024,0,0.0,False,False
lateral_x5_y1,expanding,2048,0,0.0,True,True
lateral_x5_y1,expanding,4096,0,0.0,False,False
lateral_x5_y1,expanding,8192,0,0.0,False,False
lateral_x5_y1,expanding,16384,0,0.0,False,False
lateral_x5_y1,constant_width,256,0,0.0,False,False
lateral_x5_y1,constant_width,512,0,0.0,False,False
lateral_x5_y1,constant_width,1024,0,0.0,False,False
lateral_x5_y1,constant_width,2048,0,0.0,True,True
