control,category,should_pass,observed_pass,passed
exact,final_float,True,True,True
one_ulp,final_float,True,True,True
signed_zero,final_float,True,True,True
above_64_epsilon,final_float,False,False,True
beyond_convergence,final_float,False,False,True
near_reference_gate,final_float,False,False,True
beyond_reference_gate,final_float,False,False,True
altered_field_value,final_float,False,False,True
wrong_simpson_coefficient,final_float,False,False,True
nan,final_float,False,False,True
infinity,final_float,False,False,True
dropped_component,vector_structure,False,False,True
component_reorder,vector_structure,False,False,True
changed_resolution,vector_structure,False,False,True
structural_partition,canonical_structure,False,False,True
canonical_root,canonical_structure,False,False,True
routing,canonical_structure,False,False,True
residual_bound,canonical_structure,False,False,True
owner,canonical_structure,False,False,True
