match_alias,evaluation_eligible,fit_eligible,target_outside_zero_credit,mrr,hit_at_1,hit_at_3,tied_target_blocks
reserved_01,835,835,0,0.48473624180211006,0.25389221556886227,0.6419161676646706,0
reserved_02,996,996,0,0.5019522534582775,0.26706827309236947,0.6576305220883534,0
reserved_03,814,814,0,0.5013143013143013,0.2800982800982801,0.6461916461916462,0
reserved_04,765,765,0,0.5042696337794377,0.26405228758169935,0.6888888888888889,0
reserved_05,659,659,0,0.5122166823229038,0.27617602427921095,0.6858877086494689,0
reserved_06,844,844,0,0.49459772060482965,0.2677725118483412,0.6338862559241706,0
reserved_07,751,751,0,0.49240483588020206,0.27430093209054596,0.6191744340878829,0
reserved_08,847,847,0,0.47101581679503757,0.24321133412042503,0.6044864226682408,0
reserved_09,835,835,0,0.4618543864651649,0.24311377245508983,0.5988023952095808,0
reserved_10,823,823,0,0.44897201488939037,0.21142162818955043,0.5905224787363305,0
