injection,expected,observed
qc_lifecycle_hash_differs,rejected,rejected:lifecycle_digest
failure_access_differs_from_qc,rejected,rejected:evidence_progress_mismatch
completed_state_count_differs,rejected,rejected:manifest_progress_mismatch
active_state_differs,rejected,rejected:report_progress_mismatch
active_edge_differs,rejected,rejected:manifest_progress_mismatch
status_differs,rejected,rejected:evidence_status_mismatch
failure_stage_differs,rejected,rejected:report_progress_mismatch
manifest_claims_success,rejected,rejected:manifest_status_mismatch
nonzero_access_pre_access_mode,rejected,rejected:pre_access_nonzero
access_reset_to_zero,rejected,rejected:journal_view_mismatch
