fixture,expected_acceptance,accepted,passed
missing_stage,False,False,True
unknown_stage,False,False,True
malformed_type,False,False,True
extra_field,False,False,True
missing_state,False,False,True
missing_edge,False,False,True
missing_candidate,False,False,True
premature_stage,False,False,True
postterminal_stage,False,False,True
no_failure_stage,False,False,True
forged_success,False,False,True
qc_reset,False,False,True
manifest_hash,False,False,True
evidence_reset,False,False,True
missing_file,False,False,True
missing_traceback,False,False,True
journal_truncated,False,False,True
false_acceptance_gate,False,False,True
