injection,expected,observed
two_projected_zero_opened,rejected,rejected:qc_progress_authority
negative_unresolved,rejected,rejected:qc_progress_authority
completed_exceeds_opened,rejected,rejected:qc_progress_authority
completed_without_fields,rejected,rejected:qc_progress_authority
state_complete_with_unresolved,rejected,rejected:qc_progress_authority
field_count_as_edges,rejected,rejected:qc_progress_authority
journal_edges_public_zero,rejected,rejected:evidence_progress_authority
qc_manifest_disagree,rejected,rejected:manifest_progress_authority
failure_resets_exposure,rejected,rejected:report_progress_authority
missing_active_edge,rejected,rejected:qc_progress_authority
