oracle,expected,observed
r3_completed_without_start,rejected,rejected:state_lifecycle_order
started_beyond_prepared,rejected,rejected:state_lifecycle_order
prepared_beyond_discovered,rejected,rejected:state_lifecycle_order
edge_completed_beyond_started,rejected,rejected:edge_lifecycle_order
success_incomplete,rejected,rejected:incomplete_success
success_with_failure,rejected,rejected:state_terminal_count
access_without_authority,rejected,rejected:access_without_authority
orphan_edge,rejected,rejected:parent_child_integrity
failure_after_complete_wrong_stage,rejected,rejected:failure_after_complete_wrong_stage
missing_counter,rejected,rejected:counter_schema
